任务ID	任务名称	任务目标	任务失败条件
30007	Unavailable	Unavailable	Unavailable
30008	Unavailable	Unavailable	Unavailable
30009	Unavailable	Unavailable	Unavailable
50601	来自异世界的访客	完成任务	·限制时间结束·3次力尽倒下
50701	顺应食物链的趋势！	狩猎恐暴龙	·限制时间结束·3次力尽倒下
50702	Invalid Message	Invalid Message	Invalid Message
50751	你我都是食物链	狩猎恐暴龙	·限制时间结束·3次力尽倒下
50801	烈日	讨伐炎王龙	·限制时间结束·3次力尽倒下
50802	潘多拉的斗技场	完成任务	·限制时间结束·3次力尽倒下
50803	只有跪拜一途	讨伐所有目标	·限制时间结束·3次力尽倒下
50831	Unavailable	Unavailable	Unavailable
50861	炎王龙与炎妃龙	讨伐所有目标	·限制时间结束·3次力尽倒下
50891	搅乱妃心之风	讨伐炎妃龙	·限制时间结束·3次力尽倒下
50892	搅乱妃心之风	讨伐炎妃龙	·限制时间结束·3次力尽倒下
50901	地母神的奢华享宴	击退绚辉龙	·限制时间结束·3次力尽倒下
50902	狂乱的黄金乡	击退绚辉龙	·限制时间结束·3次力尽倒下
50905	传说的魔兽贝希摩斯	完成任务	·限制时间结束·9次力尽倒下
50906	受伤的魔兽贝希摩斯	讨伐贝希摩斯	·限制时间结束·3次力尽倒下
50910	委托：古代树森林的变异调查	任务达成	·限制时间结束·3次力尽倒下
50991	来自艾欧泽亚的访客	讨伐贝希摩斯	·限制时间结束·3次力尽倒下
50992	Invalid Message	Invalid Message	Invalid Message
51601	出来吧，破坏的化身	达成任务	·限制时间结束·3次力尽倒下
51602	银色的矜持	讨伐麒麟	·限制时间结束·3次力尽倒下
51603	失去的幽世线	达成任务	·限制时间结束·3次力尽倒下
51604	不归的地底	达成任务	·限制时间结束·3次力尽倒下
51605	赤色的龙	讨伐冥赤龙	·限制时间结束·3次力尽倒下
51606	极限爆碎	讨伐猛爆碎龙	·限制时间结束·3次力尽倒下
51607	金色罗剎	狩猎激昂金狮子	·限制时间结束·3次力尽倒下
51611	黄昏黑星	讨伐煌黑龙	·限制时间结束·3次力尽倒下
51612	黑龙	讨伐黑龙	·限制时间结束·5次力尽倒下
51613	破晓的凯旋	讨伐煌黑龙	·限制时间结束·3次力尽倒下
51621	特殊斗技场：狱狼龙大师篇	狩猎狱狼龙	·限制时间结束·3次力尽倒下
51622	爆华绽放	讨伐猛爆碎龙	·限制时间结束·3次力尽倒下
51623	迎接终焉之金光	狩猎激昂金狮子	·限制时间结束·3次力尽倒下
51624	Unavailable	Unavailable	Unavailable
51625	Unavailable	Unavailable	Unavailable
61101	清晨大骚动	讨伐12头冠突龙	·限制时间结束·3次力尽倒下
61103	天黑前的片刻	狩猎所有目标	·限制时间结束·3次力尽倒下
61104	暴徒早起散步	狩猎2头蛮颚龙	·限制时间结束·3次力尽倒下
61105	猎人们永远的梦想	狩猎所有目标	·限制时间结束·3次力尽倒下
61601	深夜大骚动	讨伐10头突击龙	·限制时间结束·3次力尽倒下
61603	两位女王	狩猎所有目标	·限制时间结束·3次力尽倒下
61604	无惧于空中飞人	狩猎所有目标	·限制时间结束·3次力尽倒下
61605	猪菌是菌但也是香菇的菌	讨伐5头香菇猪 	·限制时间结束·9次力尽倒下
61606	穷贼啮猎人！	狩猎大贼龙	·限制时间结束·3次力尽倒下
61607	本尊的名字是熔岩龙	狩猎熔岩龙	·限制时间结束·3次力尽倒下
61801	抓住银猴！	交货温泉银猴6只	·限制时间结束·3次力尽倒下
61802	猎人们永远的梦想3	狩猎所有目标	·限制时间结束·3次力尽倒下
61803	猎人们永远的梦想2	捕获水妖鸟	·限制时间结束·3次力尽倒下·讨伐水妖鸟
61805	捉到胖衣企鹅！	交货胖衣企鹅8只	·限制时间结束·3次力尽倒下
61806	粉碎矿山	狩猎碎龙	·限制时间结束·3次力尽倒下
61807	古龙来临，冰冻三尺	讨伐所有目标	·限制时间结束·3次力尽倒下
61808	噢，健美身体	狩猎2头金狮子	·限制时间结束·3次力尽倒下
61809	好坏孩子统统入睡	狩猎浮眠龙	·限制时间结束·9次力尽倒下
61811	美丽的东西会冻伤	交货冰瑞花10个	·限制时间结束·3次力尽倒下
61812	饥饿不等人	狩猎所有目标	·限制时间结束·3次力尽倒下
61813	斗技场的白色情书	狩猎冰牙龙	·限制时间结束·3次力尽倒下
61814	调查（雷狼龙，溟波龙）	狩猎所有目标	·限制时间结束·3次力尽倒下
61815	朝天空狙击！	交付远古鬼蝠魟5只	·限制时间结束·3次力尽倒下
61816	那条鱼锋利的吗？	交付大坚硬竹筴鱼2只	·限制时间结束·3次力尽倒下
62502	寂静之幕	讨伐尸套龙	·限制时间结束·3次力尽倒下
62503	隐藏的白色鬃毛也	讨伐麒麟	·限制时间结束·3次力尽倒下
62504	太阳熊熊燃烧之时	讨伐炎王龙	·限制时间结束·3次力尽倒下
62505	在暴风雨中	讨伐钢龙	·限制时间结束·3次力尽倒下
62506	毁灭来临，喇叭作响	讨伐灭尽龙	·限制时间结束·3次力尽倒下
62511	青出于爱而更胜其爱	讨伐炎妃龙	·限制时间结束·3次力尽倒下
62515	脉动，本能	狩猎恐暴龙	·限制时间结束·3次力尽倒下
62606	不灭之黎明破晓	诱导熔山龙	·限制时间结束·3次力尽倒下·诱导失败
62607	此乃古龙之王	讨伐冥灯龙	·限制时间结束·3次力尽倒下
62608	看见曙光	诱导熔山龙	·限制时间结束·3次力尽倒下·诱导失败
62609	冥河的卡戎	讨伐冥灯龙	·限制时间结束·3次力尽倒下
62801	听见追悼之歌	讨伐天地煌啼龙	·限制时间结束·3次力尽倒下
63001	初级挑战任务01	讨伐所有目标	·限制时间结束·9次力尽倒下
63002	初级挑战任务02	讨伐所有目标	·限制时间结束·9次力尽倒下
63003	巨蜂大爆动！！	讨伐30只巨蜂	·限制时间结束·9次力尽倒下
63004	不畏泥泞之人啊	讨伐土砂龙	·限制时间结束·9次力尽倒下
63005	日本环球影城挑战！【初级篇】	讨伐搔鸟	·限制时间结束·9次力尽倒下
63006	日本环球影城挑战！【达人篇】	讨伐雌火龙	·限制时间结束·9次力尽倒下
63007	日本环球影城挑战！【初级篇】	讨伐眩鸟	·限制时间结束·9次力尽倒下
63008	日本环球影城挑战！【达人篇】	讨伐火龙	·限制时间结束·9次力尽倒下
63009	不畏泥泞之人啊	讨伐土砂龙	·限制时间结束·9次力尽倒下
63031	中级挑战任务01	讨伐所有目标	·限制时间结束·9次力尽倒下
63032	中级挑战任务02	讨伐2头惨爪龙	·限制时间结束·9次力尽倒下
63033	奇面族大脱逃！！	讨伐10只奇面族	·限制时间结束·9次力尽倒下
63034	杀意波动而觉醒之龙1	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63035	杀意波动而觉醒之龙2	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63036	杀意波动而觉醒之龙3	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63037	春华乱樱1	讨伐樱火龙	·限制时间结束·9次力尽倒下
63038	春华乱樱2	讨伐樱火龙	·限制时间结束·9次力尽倒下
63039	春华乱樱3	讨伐樱火龙	·限制时间结束·9次力尽倒下
63051	上级挑战任务01	讨伐所有目标	·限制时间结束·9次力尽倒下
63052	上级挑战任务02	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63071	大师中级挑战任务01	讨伐所有目标	·限制时间结束·9次力尽倒下
63072	大师中级挑战任务02	讨伐所有目标	·限制时间结束·9次力尽倒下
63073	大师上级挑战任务01	讨伐黑狼鸟	·限制时间结束·9次力尽倒下
63074	大师上级挑战任务02	讨伐惶怒恐暴龙	·限制时间结束·9次力尽倒下
63101	怪物猎人 世界活动：讨伐灭尽龙01	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63102	怪物猎人 世界活动：讨伐灭尽龙02	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63103	怪物猎人 世界活动：讨伐灭尽龙03	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63104	怪物猎人 世界活动：讨伐风漂惨爪01	讨伐所有目标	·限制时间结束·9次力尽倒下
63105	怪物猎人 世界活动：讨伐风漂惨爪02	讨伐所有目标	·限制时间结束·9次力尽倒下
63106	怪物猎人 世界活动：讨伐风漂惨爪03	讨伐所有目标	·限制时间结束·9次力尽倒下
63107	怪物猎人 世界活动：讨伐灭尽龙04	讨伐灭尽龙	·限制时间结束·9次力尽倒下
63108	怪物猎人 世界活动：讨伐恐暴龙	讨伐恐暴龙	·限制时间结束·9次力尽倒下
63109	怪物猎人 世界活动：立于顶点的人们	讨伐所有目标	·限制时间结束·9次力尽倒下
63110	怪物猎人 世界活动：隐藏在森林中的人们	讨伐所有目标	·限制时间结束·9次力尽倒下
63130	怪物猎人 世界活动：紊乱与纪律的尽头	讨伐爆鳞龙	·限制时间结束·9次力尽倒下
63131	怪物猎人 世界活动：猎人与青蓝王妃	讨伐炎妃龙	·限制时间结束·9次力尽倒下
63142	MHW活动：拒绝结冰的生命	讨伐冰呪龙	·限制时间结束·9次力尽倒下
64101	地盘争夺决定战	狩猎所有目标	·限制时间结束·3次力尽倒下
64601	爆锤龙们翻倒了！	狩猎2头爆锤龙	·限制时间结束·3次力尽倒下
64801	巨大气球x巨大气球	狩猎所有目标	·限制时间结束·3次力尽倒下
64802	熏火山堆	狩猎红莲爆鳞龙	·限制时间结束·3次力尽倒下
65601	我们是不良	讨伐13头猫蜥龙	·限制时间结束·3次力尽倒下
65602	抵抗强光的人们	狩猎3头眩鸟	·限制时间结束·3次力尽倒下
65603	爱上蛋吧！	狩猎搔鸟	·限制时间结束·3次力尽倒下
65604	身心都是摇曳鳗	交付10只摇曳鳗	·限制时间结束·3次力尽倒下
65605	咚咚咚三兄弟	狩猎所有目标	·限制时间结束·3次力尽倒下
65606	交货顺便调查痕迹	交付10个特产茸菇	·限制时间结束·3次力尽倒下
65607	交货，不管怎样就是要痕迹	交货蓝色海石10个	·限制时间结束·3次力尽倒下
65801	不可被热潮引诱的理由	狩猎2头岩贼龙	·限制时间结束·3次力尽倒下
66101	大胃王们来了！	狩猎2头大贼龙	·限制时间结束·3次力尽倒下
66102	共斗鸟×鸟	狩猎所有目标	·限制时间结束·3次力尽倒下
66103	狩猎骨肉	狩猎所有目标	·限制时间结束·3次力尽倒下
66104	双幻影	讨伐2头麒麟	·限制时间结束·3次力尽倒下
66105	长有翅膀者有毒	狩猎所有目标	·限制时间结束·3次力尽倒下
66106	打开食欲之门!	狩猎所有目标	·限制时间结束·3次力尽倒下
66601	深绿的蓝调	狩猎所有目标	·限制时间结束·3次力尽倒下
66602	荒野的波丽露	狩猎所有目标	·限制时间结束·3次力尽倒下
66603	海台的华尔兹	狩猎所有目标	·限制时间结束·3次力尽倒下
66604	荒废之谷的歌剧	狩猎所有目标	·限制时间结束·3次力尽倒下
66605	结晶体的摇滚乐	狩猎所有目标	·限制时间结束·3次力尽倒下
66606	暴动亦如是	狩猎所有目标	·限制时间结束·3次力尽倒下
66607	山丘上的雪见樱	狩猎所有目标	·限制时间结束·3次力尽倒下
66608	调查(蛮颚龙，苍火龙)	狩猎所有目标	·限制时间结束·3次力尽倒下
66609	不守秩序者，前途黯淡	狩猎爆鳞龙	·限制时间结束·3次力尽倒下
66610	谁对王座露出獠牙？	讨伐所有目标	·限制时间结束·3次力尽倒下
66801	这条鱼不适合进食	狩猎所有目标	·限制时间结束·3次力尽倒下
66802	地底之主正在呼唤...	交货地底的果实20个	·限制时间结束·3次力尽倒下
66803	拘泥于沼泥的猛牛们	狩猎所有目标	·限制时间结束·3次力尽倒下
66804	干地的宝石果实	交货坚实果20个	·限制时间结束·3次力尽倒下
66805	真正的暴徒是哪个？！	狩猎所有目标	·限制时间结束·3次力尽倒下
66806	缤·纷·色·彩	狩猎所有目标	·限制时间结束·3次力尽倒下
66807	睡眠与麻痹的组合	狩猎所有目标	·限制时间结束·3次力尽倒下
66808	焚天之王，游火之哲	狩猎所有目标	·限制时间结束·3次力尽倒下
66809	在乎荒地发生的事	狩猎所有目标	·限制时间结束·3次力尽倒下
66810	水与冰气正在等候	狩猎所有目标	·限制时间结束·3次力尽倒下
66811	燃烧吧，兽龙种！！！！	狩猎所有目标	·限制时间结束·3次力尽倒下
66812	不候人的全力疾走	狩猎所有目标	·限制时间结束·3次力尽倒下
66813	森林深处	狩猎所有目标	·限制时间结束·3次力尽倒下
66814	适合地底	狩猎所有目标	·限制时间结束·3次力尽倒下
66815	三界主	讨伐所有目标	·限制时间结束·3次力尽倒下
66816	永冻冬季	讨伐所有目标	·限制时间结束·3次力尽倒下
66817	饥渴的理由	狩猎惶怒恐暴龙	·限制时间结束·3次力尽倒下
66818	踢地跨月	狩猎雷狼龙	·限制时间结束·3次力尽倒下
66819	我既优雅又充满良心	狩猎黑狼鸟	·限制时间结束·3次力尽倒下
66820	破天大轰	狩猎黑轰龙	·限制时间结束·3次力尽倒下
66821	银色逆光	狩猎银火龙	·限制时间结束·3次力尽倒下
66822	月亮是无慈悲的金女王	狩猎金火龙	·限制时间结束·3次力尽倒下
66823	爱心灭亡	讨伐歼世灭尽龙	·限制时间结束·3次力尽倒下
66824	力量是金	狩猎金狮子	·限制时间结束·3次力尽倒下
66825	暴虐与不合理乃伤痕之母	狩猎战痕黑狼鸟	·限制时间结束·3次力尽倒下
66826	大树的约德尔	狩猎所有目标	·限制时间结束·3次力尽倒下
66827	温泥的重金属	狩猎所有目标	·限制时间结束·3次力尽倒下
66828	海底的古典乐	狩猎所有目标	·限制时间结束·3次力尽倒下
66829	生命的颂歌	狩猎所有目标	·限制时间结束·3次力尽倒下
66830	粗暴的另类摇滚	狩猎所有目标	·限制时间结束·3次力尽倒下
66831	冰封的谣曲	狩猎所有目标	·限制时间结束·3次力尽倒下
66832	八万地狱之狼	狩猎狱狼龙	·限制时间结束·3次力尽倒下
66833	无终止的淘金记	讨伐绚辉龙	·限制时间结束·3次力尽倒下
66834	轰与迅的热切邂逅	狩猎所有目标	·限制时间结束·3次力尽倒下
66835	雷霆鸣神，降临	狩猎雷狼龙	·限制时间结束·3次力尽倒下
66836	歼灭之钟，再次作响	讨伐歼世灭尽龙	·限制时间结束·3次力尽倒下
66840	风暴的棺材	讨伐钢龙	·限制时间结束·3次力尽倒下
66841	灭日	讨伐炎王龙	·限制时间结束·3次力尽倒下
66842	我的高贵灵魂	讨伐炎妃龙	·限制时间结束·3次力尽倒下
66843	暗夜恒星	讨伐煌黑龙	·限制时间结束·3次力尽倒下
66844	黎明死星	讨伐煌黑龙	·限制时间结束·3次力尽倒下
66846	最后的白骑士	狩猎霜刃冰牙龙	·限制时间结束·3次力尽倒下
66847	溟呼远响	讨伐溟波龙	·限制时间结束·3次力尽倒下
66853	光明珍珠是圆圆的眼神	交付8个光明珍珠	·限制时间结束·3次力尽倒下
66854	女王的食桌	狩猎雌火龙	·限制时间结束·3次力尽倒下
66855	稀幻的轰龙？？？	狩猎轰龙	·限制时间结束·3次力尽倒下
66856	塞耳露耳	狩猎黑狼鸟	·限制时间结束·3次力尽倒下
66857	金狮金猴	狩猎激昂金狮子	·限制时间结束·3次力尽倒下
66858	身裸万象	讨伐天地煌啼龙	·限制时间结束·3次力尽倒下
66859	熏火山堆	狩猎红莲爆鳞龙	·限制时间结束·3次力尽倒下
66860	雷霆鸣神，降临	狩猎雷狼龙	·限制时间结束·3次力尽倒下
66861	你是黄金奖杯	狩猎激昂金狮子	·限制时间结束·5次力尽倒下
66867	老士的脱俗	狩猎霜刃冰牙龙	·限制时间结束·3次力尽倒下
67101	试炼	狩猎蛮颚龙	·限制时间结束·3次力尽倒下
67102	荒野教诲	讨伐8头酸翼龙	·限制时间结束·3次力尽倒下
67103	斩击大骚动！！？	狩猎2头惨爪龙	·限制时间结束·3次力尽倒下
67105	日本环球影城·跃动吧，金星们！	狩猎3头大贼龙	·限制时间结束·3次力尽倒下
67106	日本环球影城·跃动吧，金星们！	狩猎3头大贼龙	·限制时间结束·3次力尽倒下
67603	日本环球影城·燃燒喲，蒼星們！	狩猎所有目标	·限制时间结束·3次力尽倒下
67604	日本环球影城·燃燒喲，蒼星們！	狩猎所有目标	·限制时间结束·3次力尽倒下
67605	代码:红	狩猎所有目标	·限制时间结束·3次力尽倒下
67606	贝希摩斯歼灭战	讨伐贝希摩斯	·限制时间结束·3次力尽倒下
67607	诺拉之深奥	狩猎2头恐暴龙	·限制时间结束·3次力尽倒下
67608	惨静，恐暴，艳热	狩猎所有目标	·限制时间结束·3次力尽倒下
67610	委托：林妖	讨伐古代鹿首精	·限制时间结束·3次力尽倒下
67801	RE: 生物危害重归大地	讨伐雾瘴尸套龙	·限制时间结束·3次力尽倒下
67802	前往冰尘雪野	狩猎雷狼龙	·限制时间结束·3次力尽倒下
67803	幸存者	狩猎狱狼龙	·限制时间结束·3次力尽倒下
67804	防火带计划	狩猎惶怒恐暴龙	·限制时间结束·3次力尽倒下
67807	暗杀者	狩猎迅龙	·限制时间结束·3次力尽倒下
