物品ID	物品名称	物品类型	稀有度	物品介绍
489	熔岩塊	素材	5	爆鎚龍的進階素材。表面附著著礦石的塊狀物。裡頭混雜溶合著各種礦石。
490	爆鱗龍的上鱗	素材	5	爆鱗龍的進階素材。主要經由剝取獲得。泛用性高、用途廣泛。
491	爆鱗龍的堅殼	素材	5	爆鱗龍的進階素材。主要經由報酬獲得。材質堅硬，常用於防具上。
492	爆鱗龍的尾巴	素材	5	爆鱗龍的進階素材。容易經由切斷的尾巴獲得。材質強韌，常用於防具上。
493	爆鱗龍的爆腺	素材	5	爆鱗龍的進階素材。容易經由破壞頭部部位獲得。擁有賦予爆破屬性的性質。
494	爆鱗龍的尖爪	素材	5	爆鱗龍的進階素材。主要經由剝取獲得。與爆破屬性的相容性佳。
495	爆鱗龍之翼	素材	5	爆鱗龍的進階素材。容易經由破壞兩翼部位獲得。硬質的材質，常用於武器上。
496	爆鱗龍的寶玉	素材	6	爆鱗龍的進階素材。據說是在體內生成的稀有玉石。可飛躍性地提高武器性能。
497	不滅的龍鱗	素材	6	滅盡龍的進階素材。主要經由剝取獲得。泛用性高、用途廣泛。
498	滅盡龍的堅殼	素材	6	滅盡龍的進階素材。主要經由報酬獲得。材質堅硬，常用於防具上。
499	Unavailable	素材	6	Unavailable
500	滅盡龍的尾巴	素材	6	滅盡龍的進階素材。容易經由切斷的尾巴獲得。材質強韌，常用於防具上。
501	滅盡龍的大角	素材	6	滅盡龍的進階素材。容易經由破壞角部位獲得。材質堅固，常用於武器上。
502	滅盡龍的尖爪	素材	6	滅盡龍的進階素材。主要經由剝取獲得。材質銳利，常用於武器上。
503	滅盡龍的再生殼	素材	6	滅盡龍的進階素材。容易經由掉落物獲得。材質特殊，常用於防具上。
504	滅盡龍的寶玉	素材	7	滅盡龍的進階素材。據說是在體內生成的夢幻寶玉。藏有難以估計的力量。
505	死屍的龍鱗	素材	6	屍套龍的進階素材。主要經由剝取獲得。泛用性高、用途廣泛。
506	屍套龍的堅殼	素材	6	屍套龍的進階素材。主要經由報酬獲得。材質堅硬，常用於防具上。
507	屍套龍的被膜	素材	6	屍套龍的進階素材。容易經由掉落物獲得。擁有賦予龍屬性的性質。
508	屍套龍的尾巴	素材	6	屍套龍的進階素材。容易經由切斷的尾巴獲得。材質強韌，常用於防具上。
509	屍套龍的銳牙	素材	6	屍套龍的進階素材。容易經由破壞頭部部位獲得。材質尖銳，常用於武器上。
510	屍套龍的尖爪	素材	6	屍套龍的進階素材。容易經由破壞兩隻前腳部位獲得。材質銳利，常用於武器上。
511	屍套龍之翼	素材	6	屍套龍的進階素材。容易經由破壞胴體部位獲得。材質堅硬牢固，常用於防具上。
512	Unavailable	素材	6	Unavailable
513	屍套龍的寶玉	素材	7	屍套龍的進階素材。據說是在體內生成的夢幻寶玉。藏有難以估計的力量。
514	炎王龍的堅殼	素材	6	炎王龍的進階素材。主要經由報酬獲得。材質堅硬，常用於防具上。
515	炎王龍的鬃毛	素材	6	炎王龍的進階素材。容易經由破壞頭部部位獲得。火耐性高，是貴重的素材。
516	炎王龍的尾巴	素材	6	炎王龍的進階素材。容易經由切斷的尾巴獲得。材質強韌，常用於防具上。
517	炎王龍的尖角	素材	6	炎王龍的進階素材。容易經由破壞頭部部位獲得。材質堅固，常用於武器上。
518	獄炎的龍鱗	素材	6	炎王龍的進階素材。主要經由剝取獲得。泛用性高、用途廣泛。
519	炎龍的尖爪	素材	6	炎王龍的進階素材。主要經由剝取獲得。材質銳利，常用於武器上。
520	炎龍之翼	素材	6	炎王龍的進階素材。容易經由破壞兩翼部位獲得。材質柔軟，常用於防具上。
521	炎龍的塵粉	素材	6	炎王龍的進階素材。容易經由掉落物獲得。材質特殊，只能用於限定的裝備。
522	炎龍的寶玉	素材	7	炎王龍的進階素材。據說是在體內生成的夢幻寶玉。藏有難以估計的力量。
523	鋼龍的堅殼	素材	6	鋼龍的進階素材。主要經由報酬獲得。材質堅硬，常用於防具上。
524	鋼的上龍鱗	素材	6	鋼龍的進階素材。主要經由剝取獲得。泛用性高、用途廣泛。
525	鋼龍之翼	素材	6	鋼龍的進階素材。容易經由破壞兩翼部位獲得。材質輕巧，常用於防具上。
526	鋼龍的尖角	素材	6	鋼龍的進階素材。容易經由破壞頭部部位獲得。材質堅固，常用於武器上。
527	鋼龍的尾巴	素材	6	鋼龍的進階素材。容易經由切斷的尾巴獲得。材質強韌，常用於防具上。
528	鋼龍的尖爪	素材	6	鋼龍的進階素材。主要經由剝取獲得。武具中秘藏著強大的冰屬性。
529	鋼龍的寶玉	素材	7	鋼龍的進階素材。據說是在體內生成的夢幻寶玉。藏有難以估計的力量。
530	冥燈龍的幽鱗	素材	6	冥燈龍的進階素材。遭幽界之火灼燒過的鱗片至今也綻放著淡淡光輝。
531	冥燈龍的白殼	素材	6	冥燈龍的進階素材。為了將幽界之火留在體內而經過鍛鍊的外殼。
532	冥燈龍的幽幕	素材	6	冥燈龍的進階素材。解放累積在體內奔流的力量所需的器官。
533	冥燈龍的尾巴	素材	6	冥燈龍的進階素材。可擊出拒絕所有干涉的尾擊，是強韌的尾巴。
534	冥燈龍的幽角	素材	6	冥燈龍的進階素材。為了控制力量而長的器官。看起來也像還在成長當中。
535	冥燈龍的幽爪	素材	6	冥燈龍的進階素材。綻放出似乎能斬斷肉體與靈魂連結的壓力。
536	冥燈龍的幽翼	素材	6	冥燈龍的進階素材。閃爍光芒的翼膜，渲洩而出的力量激流，令人感受到神聖莊嚴的氛圍。
537	Unavailable	素材	6	Unavailable
538	冥燈龍的幽玉	素材	7	冥燈龍的進階素材。據說是在體內生成的夢幻寶玉。藏有難以估計的力量。
539	？？？的鱗	素材	6	未知魔物的素材。可感受到不尋常的力量。
540	？？？的甲殼	素材	6	未知魔物的素材。可感受到不尋常的力量。
541	？？？的皮膜	素材	6	未知魔物的素材。可感受到不尋常的力量。
542	？？？的尾巴	素材	6	未知魔物的素材。可感受到不尋常的力量。
543	？？？的角	素材	6	未知魔物的素材。可感受到不尋常的力量。
544	？？？的爪	素材	6	未知魔物的素材。可感受到不尋常的力量。
545	？？？之翼	素材	6	未知魔物的素材。可感受到不尋常的力量。
546	dummy09	素材	6	dummy
547	？？？的寶玉	素材	7	未知魔物的素材。可感受到不尋常的力量。
548	謎樣的寶珠	素材	3	祕藏著微弱力量的寶珠。<STYL MOJI_YELLOW_DEFAULT>（鑑定道具）</STYL>
549	發光寶珠	素材	4	祕藏著某種力量的寶珠。<STYL MOJI_YELLOW_DEFAULT>（鑑定道具）</STYL>
550	老舊寶珠	素材	5	祕藏著強大力量的寶珠。<STYL MOJI_YELLOW_DEFAULT>（鑑定道具）</STYL>
551	風化的寶珠	素材	6	祕藏著神秘力量的寶珠。<STYL MOJI_YELLOW_DEFAULT>（鑑定道具）</STYL>
552	污穢的龍脈石	素材	5	雖污穢不堪，但仍能感受到確切的力量脈動的石塊。<STYL MOJI_YELLOW_DEFAULT>（鑑定道具）</STYL>
553	閃耀的龍脈石	素材	7	可在光輝中感受到未知可能性的石塊。<STYL MOJI_YELLOW_DEFAULT>（鑑定道具）</STYL>
554	龍脈石碎片	素材	5	從歷戰個體中採集的些許石塊。可以生成比越過生死線的魔物更大的石塊。
555	龍脈石	素材	6	從歷戰個體中採集的些許石塊。在無止盡追求強大的慾望中生成的力量結晶。
556	大龍脈石	素材	7	從歷戰個體中採集的些許石塊。這是其個體以支配者身份，稱霸一個時代的象徵。
557	猛者龍脈石‧劍	素材	5	歷戰的猛者所擁有的素材。祕藏著可激發出大劍、太刀超越極限性能的力量。
558	猛者龍脈石‧刃	素材	5	歷戰的猛者所擁有的素材。祕藏著可激發出單手劍、雙劍超越極限性能的力量。
559	猛者龍脈石‧鎚	素材	5	歷戰的猛者所擁有的素材。祕藏著可激發出大錘、狩獵笛超越極限性能的力量。
560	猛者龍脈石‧槍	素材	5	歷戰的猛者所擁有的素材。祕藏著可激發出長槍、銃槍超越極限性能的力量。
561	猛者龍脈石‧斧	素材	5	歷戰的猛者所擁有的素材。祕藏著可激發出劍斧、盾斧超越極限性能的力量。
562	猛者龍脈石‧柄	素材	5	歷戰的猛者所擁有的素材。祕藏著可激發出操蟲棍、弓超越極限性能的力量。
563	猛者龍脈石‧弩	素材	5	歷戰的猛者所擁有的素材。祕藏著可激發出輕弩槍、重弩槍超越極限性能的力量。
564	英雄龍脈石‧劍	素材	7	光榮的英雄所擁有的素材。祕藏著可激發出大劍、太刀超越極限性能的力量。
565	英雄龍脈石‧刃	素材	7	光榮的英雄所擁有的素材。祕藏著可激發出單手劍、雙劍超越極限性能的力量。
566	英雄龍脈石‧鎚	素材	7	光榮的英雄所擁有的素材。祕藏著可激發出大錘、狩獵笛超越極限性能的力量。
567	英雄龍脈石‧槍	素材	7	光榮的英雄所擁有的素材。祕藏著可激發出長槍、銃槍超越極限性能的力量。
568	英雄龍脈石‧斧	素材	7	光榮的英雄所擁有的素材。祕藏著可激發出劍斧、盾斧超越極限性能的力量。
569	英雄龍脈石‧柄	素材	7	光榮的英雄所擁有的素材。祕藏著可激發出操蟲棍、弓超越極限性能的力量。
570	英雄龍脈石‧弩	素材	7	光榮的英雄所擁有的素材。祕藏著可激發出輕弩槍、重弩槍超越極限性能的力量。
571	餐券	素材	3	可免費食用特別餐點的票券。可得到比一般餐點更高的效果。
572	古代龍人的票據	素材	3	新大陸的古代龍人所使用的票據。可在神秘鍊金的設施中，交換便利的道具。
573	古代龍人的票據Ｇ	素材	3	新大陸的古代龍人所使用的票據。可在神秘鍊金的設施中，交換便利的道具。
574	鋼之龍人票據	素材	3	新大陸的古代龍人所使用的票據。可在神秘鍊金的設施中，交換便利的道具。
575	銀之龍人票據	素材	3	新大陸的古代龍人所使用的票據。可在神秘鍊金的設施中，交換便利的道具。
576	金之龍人票據	素材	3	新大陸的古代龍人所使用的票據。可在神秘鍊金的設施中，交換便利的道具。
577	勇氣之證	素材	4	是展現出其身的勇氣時，可獲得的票券。收集後將會有好事發生！？
578	勇氣之證Ｇ	素材	6	是展現出偉大的勇氣時，可獲得的票券。收集後將會有好事發生！？
579	調查團票	素材	6	總司令給予對調查團有貢獻者的票券。交給加工屋後，會……？
580	毒妖鳥硬幣	素材	3	贈與在鬥技大會中征服了毒妖鳥之人的硬幣。
581	搔鳥硬幣	素材	3	贈與在鬥技大會中征服了搔鳥之人的硬幣。
582	雌火龍硬幣	素材	3	贈與在鬥技大會中征服了雌火龍之人的硬幣。
583	眩鳥硬幣	素材	3	贈與在鬥技大會中征服了眩鳥之人的硬幣。
584	土砂龍硬幣	素材	3	贈與在鬥技大會中征服了土砂龍之人的硬幣。
585	岩賊龍硬幣	素材	3	贈與在鬥技大會中征服了岩賊龍之人的硬幣。
586	火龍硬幣	素材	3	贈與在鬥技大會中征服了火龍之人的硬幣。
587	獸龍硬幣	素材	3	贈與在鬥技大會中同時征服了多數獸龍種之人的硬幣。
588	飛龍硬幣	素材	3	贈與在鬥技大會中同時征服了多數飛龍種之人的硬幣。
589	鬥技王硬幣	素材	3	贈與徹底精通狩獵相關技能之人的名譽硬幣。其光輝是無價之寶。
590	狩獵王硬幣	素材	5	贈與真獵人的名譽白銀硬幣。其至高無上的光輝，正表示著狩獵王的榮耀。
591	擊龍王硬幣	素材	7	贈與最頂尖獵人的金色硬幣。在眾多獵人中，也只有少數人可擁有。
592	鋼蛋	素材	3	閃閃發光的鋼蛋。是擁有巨大價值的珍寶。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
593	銀蛋	素材	3	閃閃發光的銀蛋。是擁有巨大價值的珍寶。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
594	金蛋	素材	3	閃閃發光的金蛋。是可產生巨萬之富的珍寶。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
595	缺損的鱗片	素材	3	是利用盜掠衣裝獲得的素材。雖有缺損，但可賣給收藏家。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
596	大鱗片	素材	3	是利用盜掠衣裝獲得的素材。有超越一般規格的大小，可推薦給收藏家。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
597	漂亮的鱗片	素材	4	是利用盜掠衣裝獲得的素材。在收藏家中很有人氣的珍品。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
598	鮮豔的鱗片	素材	5	是利用盜掠衣裝獲得的素材。是可向收藏家炫耀的物品。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
599	閃爍的鱗片	素材	6	是利用盜掠衣裝獲得的素材。是收藏家求之不得的極品。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
600	貝爾娜石	素材	3	是從現大陸進口的進口品。觀賞用的寶石，無法作為素材使用。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
601	特德爾燐礦	素材	3	是從現大陸進口的進口品。觀賞用的寶石，無法作為素材使用。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
602	勒克拉克礦	素材	4	是從現大陸進口的進口品。觀賞用的寶石，無法作為素材使用。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
603	巴露巴雷石英	素材	5	是從現大陸進口的進口品。觀賞用的寶石，無法作為素材使用。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
604	米那加洛特寶石	素材	6	是從現大陸進口的進口品。觀賞用的寶石，無法作為素材使用。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
605	黃金的鱗片	素材	3	黃金魚的鱗片。閃爍著如同黃金般的光芒。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
606	黃金的大鱗片	素材	4	大黃金魚的鱗片。其黃金光輝是富有魅力的頂級品。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
607	白金的鱗片	素材	3	白金魚的鱗片。綻放著白金光芒。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
608	白金的大鱗片	素材	4	大白金魚的鱗片。綻放著耀眼過人光芒的頂級品。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
609	金色的鱗片	素材	3	小金魚的鱗片。作為工藝品素材的價值很高。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
610	金色的大鱗片	素材	4	小金魚王的鱗片。可用來製作最高級的工藝品。<STYL MOJI_YELLOW_DEFAULT>（換金道具）</STYL>
611	白肝	换算道具	1	如字面所述的白色肝臟。其融化般的口感非常受歡迎！<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
612	龍之淚	换算道具	2	龍類只有在特殊的行動時才會流下的大顆貴重眼淚。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
613	大顆的龍之淚	换算道具	4	龍類只有在特殊的行動時才會流下的大顆貴重眼淚。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
614	龍秘寶	换算道具	2	古龍種喜好收集的寶石。閃閃發光。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
615	Unavailable	换算道具	4	Unavailable
616	太陽花	换算道具	1	古代樹森林的特產品。沐浴在太陽光下綻開的花。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
617	亮光花	换算道具	2	古代樹森林的稀有特產品。香味令人憶起葉縫間灑落的陽光之花。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
618	黃金花	换算道具	3	古代樹森林的貴重特產品。可喻為黃金般美麗的花。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
619	特產茸菇	换算道具	1	古代樹森林的特產品。以獨特口感為賣點的香菇。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
620	嚴選茸菇	换算道具	2	古代樹森林的稀有特產品。令料理人也為之讚嘆的優質香菇。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
621	靈光茸菇	换算道具	3	古代樹森林的貴重特產品。包覆著夢幻光輝的香菇。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
622	小顆仙人掌	换算道具	1	大蟻塚荒地的特產品。體積雖小，也有著結實果肉。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
623	大顆仙人掌	换算道具	2	大蟻塚荒地的稀有特產品。體積大，裡頭充滿著果肉。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
624	國王仙人掌	换算道具	3	大蟻塚荒地的貴重特產品。其品質與國王之名相襯的植物。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
625	堅實果	换算道具	1	大蟻塚荒地的特產品。皮很堅硬，但果肉很柔軟。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
626	岩石果	换算道具	2	大蟻塚荒地的稀有特產品。外皮有如岩石般堅硬的植物。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
627	狂野水果	换算道具	3	大蟻塚荒地的貴重特產品。擁有行家才懂的狂野味道。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
628	特產藤壺鮑魚	换算道具	1	陸珊瑚台地的特產品。珍奇美味很有人氣的藤壺鮑魚。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
629	嚴選藤壺鮑魚	换算道具	2	陸珊瑚台地的稀有特產品。味道、大小都是頂級品的藤壺鮑魚。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
630	祕藏藤壺鮑魚	换算道具	3	陸珊瑚台地的貴重特產品。被譽為珍味中之珍味的藤壺鮑魚。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
631	光明珍珠	换算道具	1	陸珊瑚台地的特產品。綻放明亮光輝的珍珠。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
632	深邃珍珠	换算道具	2	陸珊瑚台地的稀有特產品。綻放深邃光輝的珍珠。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
633	潔白珍珠	换算道具	3	陸珊瑚台地的貴重特產品。綻放純潔無瑕光輝的珍珠。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
634	古老化石	换算道具	1	瘴氣之谷的特產品。殘留著古老時代痕跡的化石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
635	夢幻化石	换算道具	2	瘴氣之谷的稀有特產品。現代已滅絕的生物化石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
636	神秘化石	换算道具	3	瘴氣之谷的貴重特產品。為解開太古之謎的關鍵化石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
637	地底的果實	换算道具	1	瘴氣之谷的特產品。生長於無日光照射的地底水果。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
638	瘴氣果實	换算道具	2	瘴氣之谷的稀有特產品。在嚴峻的環境下也能生長的水果。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
639	彼岸的果實	换算道具	3	瘴氣之谷的貴重特產品。香味令人覺得不屬於這世界的水果。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
640	大地琥珀	换算道具	1	龍結晶之地的特產品。從大地中自然滲出的美麗琥珀。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
641	龍脈琥珀	换算道具	2	龍結晶之地的稀有特產品。可感受到大地能量的琥珀。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
642	太古琥珀	换算道具	3	龍結晶之地的貴重特產品。蘊藏著太古記憶的琥珀。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
643	藍色海石	换算道具	1	龍結晶之地的特產品。會令人憶起大海的藍色寶石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
644	真實海石	换算道具	2	龍結晶之地的稀有特產品。有著如看透真實般通透顏色的寶石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
645	深淵海石	换算道具	3	龍結晶之地的貴重特產品。有著像要被吸入般深邃顏色的寶石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
646	百陽草	换算道具	3	古代樹森林的特別特產品。可用來治百病的植物。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
647	月夜茸	换算道具	3	古代樹森林的特別特產品。綻放著如月光般淡淡光輝的茸菇。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
648	龍花果	换算道具	3	大蟻塚荒地的特別特產品。擁有如龍的鱗片般堅硬的果實。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
649	熱帶鳳梨	换算道具	3	大蟻塚荒地的特別特產品。不太成長的熱帶水果。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
650	藤壺色鮑魚	换算道具	3	陸珊瑚台地的特別特產品。香氣、味道皆有獨特變化的藤壺鮑魚。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
651	白金珍珠	换算道具	3	陸珊瑚台地的特別特產品。綻放著金屬般光輝的珍珠。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
652	魔之化石	换算道具	3	瘴氣之谷的特別特產品。蘊含著不可言喻的不祥化石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
653	天堂莓果	换算道具	3	瘴氣之谷的特別特產品。味道刺激到幾乎令人昇天的植物。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
654	黃昏石	换算道具	3	龍結晶之地的特別特產品。顏色令人憶起虛幻夕陽的寶石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
655	諾亞石	换算道具	3	龍結晶之地的特別特產品。其光輝像是要將觀賞者吞噬般的寶石。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
656	飛龍的蛋	换算道具	4	飛龍種的蛋。若能順利將其帶回營地，就能交貨……<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
657	草食龍的蛋	换算道具	3	草食龍的蛋。若能順利將其帶回營地，就能交貨……<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
658	肉塊	换算道具	3	慘爪龍製成的肉塊。有著吸引肉食生物靠近的特殊腐臭味。<STYL MOJI_YELLOW_DEFAULT>（結算道具）</STYL>
659	繞行兔	换算道具	1	是習慣往小路逃跑的生物。若追著牠跑，說不定可發現意想不到的道路。
660	嚮導兔	换算道具	3	是平常不易見到的貴重生物。據說會在氣候良好時出現，並指引迷失道路的人。
661	叢林始祖鳥	换算道具	1	棲息在樹木茂密之地的生物。已發現了與其骨頭和羽毛部份特徵相似的化石。
662	始祖鳥的使者	换算道具	3	是平常不易見到的貴重生物。即使與古老時代的化石互相比對，也可發現至今從未發現過的特徵。
663	鈷閃蝶	换算道具	1	擁有閃爍著鈷藍色光輝的翅膀，是隻非常美麗的蝴蝶。
664	幽閃蝶	换算道具	3	有著虹色翅膀的夢幻蝴蝶。發現的案例極少，但報告的共通點皆是在晴天時發現。
665	淚之龜殼攀鱸	换算道具	1	身上殘留著濃厚的原始兩生類特徵的生物。在下雨時，會發出具有特色的叫聲。
666	森林蜥蜴	换算道具	1	棲息在樹上的壁虎。為了捕食聚集在亮光處的蟲類，而待在光苔附近。
667	蟻窩蜥蜴	换算道具	1	棲息在蟻窩附近的壁虎。在大型蟻窩附近，似乎可發現大量的壁虎。
668	黑暗蜥蜴	换算道具	2	喜好棲息在洞窟等陰暗地方的壁虎。因身體屬於警告色，所以避免遭到捕食。
669	月光蜥蜴	换算道具	3	尾巴發著亮光的稀有壁虎。利用以光苔成份發光的尾巴，吸引並狩獵獵物。
670	霞霧女郎	换算道具	1	棲息在古代樹森林等地的蜘蛛。會張起有如人體大小般的巢穴，並捕食黏附在網上的蟲類。
671	斯卡班傑拉	换算道具	2	棲息在地上並以腐肉為主食的蜘蛛。會成群啃食生物的屍體。經常棲息在骨頭附近。
672	憎恨鳥	换算道具	1	會啄食其他生物捕食到的屍骸的鳥。經常飛行於大型魔物上空。
673	桃源鄉	换算道具	1	會採食果實與種子的草食性鳥。因已習慣人類，發現也會棲息在調查據點周邊。
674	預兆蜻蜓	换算道具	1	尾巴會發光的生物。平時是發著白光，一旦察覺危險就會變化成紅光。
675	吉兆蜻蜓	换算道具	3	是極難遇到的稀有蟲。多於氣候惡劣時發現案例，因此推測只會在雨天時羽化。
676	鱗片蝙蝠	换算道具	1	最終進化成超小型的飛龍。為了適應洞窟生活，因此進化成與蝙蝠相似的樣貌。
677	糞金龜	换算道具	1	會滾動魔物糞便的昆蟲。所滾動的糞便大小硬度適中，正好可用於裝填投射器。
678	爆彈甲蟲	换算道具	2	以滾動來搬運岩石的昆蟲。若採集了滾動的岩石，也可作為投射器爆發彈使用。
679	粉色異形魚	换算道具	1	自太古時期便未改變樣貌一直生存下來的魚。為不被其他生物捕食，身上長著棘狀的背鰭。
680	上等粉色異形魚	换算道具	3	特大尺寸的粉色異形魚。到底要生長多久的時間，才能有這大小呢……
681	破裂龍魚	换算道具	1	有著火藥味道的魚類。用此魚的鱗片與火藥草調合，可精製出大量的火藥粉。
682	爆裂龍魚	换算道具	1	有著火藥味道的魚類。用此魚的鱗片與火藥草調合，可精製出大量的優質火藥粉。
683	上等破裂龍魚	换算道具	3	特大尺寸的破裂龍魚。不只是尺寸，連危險度也跟著提高。需小心處置。
684	上等爆裂龍魚	换算道具	3	特大尺寸的爆裂龍魚。不只是尺寸，連危險度也跟著提高。需小心處置。
685	雅緻珊瑚鳥	换算道具	2	是雌性珊瑚鳥個體的通稱。因以珊瑚為糧食的影響，身體變化為粉紅色。
686	伶俐珊瑚鳥	换算道具	3	是雄性珊瑚鳥個體的通稱。只會在繁殖時期現身，因此非常罕見。
687	行燈魚	换算道具	2	頭部有著發光突起的魚。推測是以光來吸引並捕食飛天烏帽。
688	柔毛秧雞	换算道具	3	是發現案例極少的夢幻之鳥。有著極致鬆軟的羽毛，背上可發現有共生關係的生物棲息著。
689	粗毛秧雞	换算道具	3	是發現案例極少的夢幻之鳥。有著異常粗硬的羽毛，背上可發現有共生關係的生物棲息著。
690	蛇麻古比魚	换算道具	1	可在水上敏捷跳躍移動的魚。滑翔時會展開胸鰭，以延長滯空時間與飛翔距離。
691	化石湯釜	换算道具	3	是透過化石才得以知曉其存在，被認為早已滅絕的魚。這是名留青史的世紀大發現。
692	麻痺瓦斯蛙	换算道具	1	施加衝擊就會噴射麻痺瓦斯的青蛙。其效果強勁到連大型魔物都能麻痺。
693	睡眠瓦斯蛙	换算道具	2	施加衝擊就會噴射睡眠瓦斯的青蛙。其效果強勁到連大型魔物都能陷入睡眠。
694	爆炸瓦斯蛙	换算道具	2	施加衝擊就會噴出爆炸性液體的青蛙。會引發連大型魔物都膽怯的爆炸。
695	搖曳鰻	换算道具	2	棲息在陸珊瑚台地的生物。若是配合其視線位置，便能降低其警戒心並得以接近。
696	搖曳鰻女王	换算道具	3	只會現身於月夜中的稀有生物。會在月光下乘風搖曳，有著幻想般的身姿。
697	回復蜜蟲	换算道具	1	體內累積具有回復效果蜜汁的蟲。輕輕施加衝擊，蜜汁則會飛散到周圍。
698	大回復蜜蟲	换算道具	1	體內累積具有高濃度回復效果蜜汁的蟲。淋上此蜜汁後，可得到持續性的回復效果。
699	飛天烏帽	换算道具	2	棲息在陸珊瑚台地的生物。會乘著風移動，經常能在風大的地方見到其身影。
700	搬運蟻	换算道具	1	會搬運各種東西的螞蟻。似乎極少時候也能搬運大型魔物的素材……
701	大獨角仙	换算道具	1	有著雄偉大角的大甲蟲。據推測在古代樹森林中有７個棲息點。
702	金色獨角仙	换算道具	1	閃爍金色光輝的黃金甲蟲。為夜行性生物，因此只會在夜間現身。正可謂幸運的昆蟲。
703	虹色大獨角仙	换算道具	3	閃爍虹色光芒的彩虹甲蟲。僅會在日出、日落的時間現身。正可謂夢幻的昆蟲。
704	皇帝蚱蜢	换算道具	1	擁有與皇帝之名相襯體型的蚱蜢。會敏捷地跳躍並迂迴逃走，故很難捕獲。
