任务ID	任务名称	任务目标	任务失败条件
03001	鬥技大會02	討伐搔鳥	‧限制時間結束‧９次力竭倒下
03002	鬥技大會03	討伐雌火龍	‧限制時間結束‧９次力竭倒下
03031	鬥技大會04	討伐眩鳥	‧限制時間結束‧９次力竭倒下
03032	鬥技大會05	討伐土砂龍	‧限制時間結束‧９次力竭倒下
03033	鬥技大會06	討伐岩賊龍	‧限制時間結束‧９次力竭倒下
03034	鬥技大會07	討伐蒼火龍	‧限制時間結束‧９次力竭倒下
03051	鬥技大會08	討伐所有目標	‧限制時間結束‧９次力竭倒下
03052	鬥技大會09	討伐所有目標	‧限制時間結束‧９次力竭倒下
03071	鬥技大會Master級02	討伐浮眠龍	‧限制時間結束‧９次力竭倒下
03072	鬥技大會Master級03	討伐迅龍	‧限制時間結束‧９次力竭倒下
03073	鬥技大會Master級04	討伐硫斬龍	‧限制時間結束‧９次力竭倒下
03074	鬥技大會Master級05	討伐所有目標	‧限制時間結束‧９次力竭倒下
03091	鬥技大會Master級06	討伐雷狼龍	‧限制時間結束‧９次力竭倒下
03092	鬥技大會Master級07	討伐所有目標	‧限制時間結束‧９次力竭倒下
03101	鬥技大會01	討伐毒妖鳥	‧限制時間結束‧９次力竭倒下
03171	鬥技大會Master級01	討伐猛牛龍	‧限制時間結束‧９次力竭倒下
05003	擊退眩鳥吧！	狩獵兩頭眩鳥	‧限制時間結束‧３次力竭倒下
0	Invalid Message	Invalid Message	Invalid Message
30000	Unavailable	Unavailable	Unavailable
30001	Unavailable	Unavailable	Unavailable
30002	Unavailable	Unavailable	Unavailable
30003	Unavailable	Unavailable	Unavailable
30004	Unavailable	Unavailable	Unavailable
30005	Unavailable	Unavailable	Unavailable
30006	Unavailable	Unavailable	Unavailable
30007	Unavailable	Unavailable	Unavailable
30008	Unavailable	Unavailable	Unavailable
30009	Unavailable	Unavailable	Unavailable
50601	來自異世界的訪客	達成任務	‧限制時間結束‧３次力竭倒下
50701	順應食物鏈的趨勢！	狩獵恐暴龍	‧限制時間結束‧３次力竭倒下
50702	Invalid Message	Invalid Message	Invalid Message
50751	你我都是食物鏈	狩獵恐暴龍	‧限制時間結束‧３次力竭倒下
50801	烈日	討伐炎王龍	‧限制時間結束‧３次力竭倒下
50802	潘朵拉的鬥技場	達成任務	‧限制時間結束‧３次力竭倒下
50803	只有跪拜一途	討伐所有目標	‧限制時間結束‧３次力竭倒下
50831	Unavailable	Unavailable	Unavailable
50861	炎王龍與炎妃龍	討伐所有目標	‧限制時間結束‧３次力竭倒下
50891	攪亂妃心之風	討伐炎妃龍	‧限制時間結束‧３次力竭倒下
50892	攪亂妃心之風	討伐炎妃龍	‧限制時間結束‧３次力竭倒下
50901	地母神的奢華享宴	擊退絢輝龍	‧限制時間結束‧３次力竭倒下
50902	狂亂的黃金鄉	擊退絢輝龍	‧限制時間結束‧３次力竭倒下
50905	傳說的魔獸貝希摩斯	達成任務	‧限制時間結束‧９次力竭倒下
50906	受傷的魔獸貝希摩斯	討伐貝希摩斯	‧限制時間結束‧３次力竭倒下
50910	委託：古代樹森林的變異調查	任務達成	‧限制時間結束‧３次力竭倒下
50991	來自艾歐澤亞的訪客	討伐貝希摩斯	‧限制時間結束‧３次力竭倒下
50992	Invalid Message	Invalid Message	Invalid Message
51601	出來吧，破壞的化身	達成任務	‧限制時間結束‧３次力竭倒下
51602	銀色的矜持	討伐麒麟	‧限制時間結束‧３次力竭倒下
51603	失去的幽世綫	達成任務	‧限制時間結束‧３次力竭倒下
51604	不歸的地底	達成任務	‧限制時間結束‧３次力竭倒下
51605	赤色的龍	討伐冥赤龍	‧限制時間結束‧３次力竭倒下
51606	極限爆碎	討伐猛爆碎龍	‧限制時間結束‧３次力竭倒下
51607	金色羅剎	狩獵激昂金獅子	‧限制時間結束‧３次力竭倒下
51611	黃昏黑星	討伐煌黑龍	‧限制時間結束‧３次力竭倒下
51612	黑龍	討伐黑龍	‧限制時間結束‧５次力竭倒下
51613	破曉的凱旋	討伐煌黑龍	‧限制時間結束‧３次力竭倒下
51621	特殊鬥技場：獄狼龍Master篇	狩獵獄狼龍	‧限制時間結束‧３次力竭倒下
51622	爆華綻放	討伐猛爆碎龍	‧限制時間結束‧３次力竭倒下
51623	迎接終焉之金光	狩獵激昂金獅子	‧限制時間結束‧３次力竭倒下
51624	Unavailable	Unavailable	Unavailable
51625	Unavailable	Unavailable	Unavailable
61101	清晨大騷動	討伐冠突龍12頭	‧限制時間結束‧３次力竭倒下
61103	天黑前的片刻	狩獵所有目標	‧限制時間結束‧３次力竭倒下
61104	暴徒起大早散步	狩獵２頭蠻顎龍	‧限制時間結束‧3次力竭倒下
61105	獵人們永遠的夢想	狩獵所有目標	‧限制時間結束‧３次力竭倒下
61601	深夜大騷動	討代突擊龍10頭	‧限制時間結束‧３次力竭倒下
61603	兩位女王	狩獵所有目標	‧限制時間結束‧３次力竭倒下
61604	無懼於空中飛人	狩獵所有目標	‧限制時間結束‧3次力竭倒下
61605	菌猪是菌但也是菇菌的菌	討伐菌豬５頭	‧限制時間結束‧９次力竭倒下
61606	窮賊囓獵人！	狩獵大凶豺龍	‧限制時間結束‧３次力竭倒下
61607	本尊的名字是熔岩龍	狩獵熔岩龍	‧限制時間結束‧３次力竭倒下
61801	抓住銀猴！	交貨溫泉銀猴６隻	‧限制時間結束‧３次力竭倒下
61802	獵人們永遠的夢想Ⅲ	狩獵所有目標	‧限制時間結束‧３次力竭倒下
61803	獵人們永遠的夢想Ⅱ	捕獲水妖鳥	‧限制時間結束‧３次力竭倒下‧討伐水妖鳥
61805	捉到胖衣企鵝！	交貨胖衣企鵝８隻	‧限制時間結束‧３次力竭倒下
61806	粉碎礦山	狩獵碎龍	‧限制時間結束‧３次力竭倒下
61807	古龍來臨，冰凍三尺	討伐所有目標	‧限制時間結束‧３次力竭倒下
61808	噢，健美身體	狩獵２頭金獅子	‧限制時間結束‧３次力竭倒下
61809	好壞孩子統統入睡	狩獵浮眠龍	‧限制時間結束‧９次力竭倒下
61811	美麗的東西會凍傷	交貨冰瑞花１０個	‧限制時間結束‧３次力竭倒下
61812	飢餓不等人	狩獵所有目標	‧限制時間結束‧３次力竭倒下
61813	鬥技場的白色情書	狩獵冰牙龍	‧限制時間結束‧３次力竭倒下
61814	調查（雷狼龍，溟波龍）	狩獵所有目標	‧限制時間結束‧３次力竭倒下
61815	朝天空狙擊！	交貨遠古鬼蝠魟５隻	‧限制時間結束‧３次力竭倒下
61816	那條魚鋒利的嗎？	交貨大堅硬竹筴魚２隻	‧限制時間結束‧３次力竭倒下
62502	寂靜之幕	討伐屍套龍	‧限制時間結束‧３次力竭倒下
62503	隱藏的白色鬃毛也	討伐麒麟	‧限制時間結束‧３次力竭倒下
62504	太陽熊熊燃燒之時	討伐炎王龍	‧限制時間結束‧３次力竭倒下
62505	在暴風雨中	討伐鋼龍	‧限制時間結束‧３次力竭倒下
62506	毀滅來臨，喇叭作響	討伐滅盡龍	‧限制時間結束‧3次力竭倒下
62511	青出於愛而更勝其愛	討伐炎妃龍	‧限制時間結束‧３次力竭倒下
62515	脈動，本能	狩獵恐暴龍	‧限制時間結束‧３次力竭倒下
62606	不滅之黎明破曉	誘導熔山龍	‧限制時間結束‧３次力竭倒下‧誘導失敗
62607	此乃古龍之王	討伐冥燈龍	‧限制時間結束‧３次力竭倒下
62608	看見曙光	誘導熔山龍	‧限制時間結束‧３次力竭倒下‧誘導失敗
62609	冥河的凱倫	討伐冥燈龍	‧限制時間結束‧３次力竭倒下
62801	聽見追悼之歌	討伐天地煌啼龍	‧限制時間結束‧３次力竭倒下
63001	初級挑戰任務01	討伐所有目標	‧限制時間結束‧９次力竭倒下
63002	初級挑戰任務02	討伐所有目標	‧限制時間結束‧９次力竭倒下
63003	巨蜂大爆動！！	討伐巨蜂３０隻	‧限制時間結束‧９次力竭倒下
63004	不畏泥地之人啊	討伐土砂龍	‧限制時間結束‧９次力竭倒下
63005	挑戰USJ！【初級篇】	討伐搔鳥	‧限制時間結束‧９次力竭倒下
63006	挑戰USJ！【達人篇】	討伐雌火龍	‧限制時間結束‧９次力竭倒下
63007	挑戰USJ！【初級篇】	討伐眩鳥	‧限制時間結束‧９次力竭倒下
63008	挑戰USJ！【達人篇】	討伐火龍	‧限制時間結束‧９次力竭倒下
63009	不畏泥地之人啊	討伐土砂龍	‧限制時間結束‧９次力竭倒下
63031	中級挑戰任務01	討伐所有目標	‧限制時間結束‧９次力竭倒下
63032	中級挑戰任務02	討伐慘爪龍2頭	‧限制時間結束‧９次力竭倒下
63033	奇面族大脫逃！！	討伐奇面族10隻	‧限制時間結束‧９次力竭倒下
63034	意識到殺意波動的龍‧Ⅰ	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63035	意識到殺意波動的龍‧Ⅱ	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63036	意識到殺意波動的龍‧Ⅲ	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63037	亂櫻春浪漫‧Ⅰ	討伐櫻火龍	‧限制時間結束‧９次力竭倒下
63038	亂櫻春浪漫‧Ⅱ	討伐櫻火龍	‧限制時間結束‧９次力竭倒下
63039	亂櫻春浪漫‧Ⅲ	討伐櫻火龍	‧限制時間結束‧９次力竭倒下
63051	上級挑戰任務01	討伐所有目標	‧限制時間結束‧９次力竭倒下
63052	上級挑戰任務02	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63071	MR中級挑戰任務01	討伐所有目標	‧限制時間結束‧９次力竭倒下
63072	MR中級挑戰任務02	討伐所有目標	‧限制時間結束‧９次力竭倒下
63073	MR上級挑戰任務01	討伐黑狼鳥	‧限制時間結束‧９次力竭倒下
63074	MR上級挑戰任務02	討伐惶怒恐暴龍	‧限制時間結束‧９次力竭倒下
63101	MHW活動：討伐滅盡龍01	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63102	MHW活動：討伐滅盡龍02	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63103	MHW活動：討伐滅盡龍03	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63104	MHW活動：討伐風漂慘爪01	討伐所有目標	‧限制時間結束‧９次力竭倒下
63105	MHW活動：討伐風漂慘爪02	討伐所有目標	‧限制時間結束‧９次力竭倒下
63106	MHW活動：討伐風漂慘爪03	討伐所有目標	‧限制時間結束‧９次力竭倒下
63107	MHW活動：討伐滅盡龍04	討伐滅盡龍	‧限制時間結束‧９次力竭倒下
63108	MHW活動：討伐恐暴龍	討伐恐暴龍	‧限制時間結束‧９次力竭倒下
63109	MHW活動：立於頂點的人們	討伐所有目標	‧限制時間結束‧９次力竭倒下
63110	MHW活動：潛藏在森林中的人們	討伐所有目標	‧限制時間結束‧９次力竭倒下
63130	MHW活動：紊亂與紀律的盡頭	討伐爆鱗龍	‧限制時間結束‧9次力竭倒下
63131	MHW活動：獵人與青藍王妃	討伐炎妃龍	‧限制時間結束‧9次力竭倒下
63142	MHW活動：拒絕結冰的生命	討伐冰呪龍	‧限制時間結束‧９次力竭倒下
64101	爭奪地盤決定戰	狩獵所有目標	‧限制時間結束‧３次力竭倒下
64601	爆鎚龍們翻倒了！	狩獵２頭爆鎚龍	‧限制時間結束‧３次力竭倒下
64801	巨大氣球x巨大氣球	狩獵所有目標	‧限制時間結束‧３次力竭倒下
64802	燻火山堆	狩獵紅蓮爆鱗龍	‧限制時間結束‧３次力竭倒下
65601	我們是惡棍	討伐貓蜥龍13頭	‧限制時間結束‧３次力竭倒下
65602	抗拒強光的人們	狩獵３頭眩鳥	‧限制時間結束‧３次力竭倒下
65603	愛上蛋吧！	狩獵搔鳥	‧限制時間結束‧３次力竭倒下
65604	身心都是搖曳鰻	交貨搖曳鰻10隻	‧限制時間結束‧３次力竭倒下
65605	咚咚咚三兄弟	狩獵所有目標	‧限制時間結束‧３次力竭倒下
65606	交貨順便調查痕跡	交貨特產茸菇10個	‧限制時間結束‧３次力竭倒下
65607	交貨，不管怎樣就是要痕跡	交貨藍色海石10個	‧限制時間結束‧３次力竭倒下
65801	不可被熱潮引誘的理由	狩獵２頭岩賊龍	‧限制時間結束‧３次力竭倒下
66101	大胃王們來了！	狩獵２頭大凶豺龍	‧限制時間結束‧３次力竭倒下
66102	共鬥鳥×鳥	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66103	狩獵骨肉	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66104	雙幻影	討伐麒麟２頭	‧限制時間結束‧３次力竭倒下
66105	長有翅膀者有毒	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66106	打開食欲之門！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66601	深綠的藍調	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66602	荒野的波麗露	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66603	海台的華爾滋	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66604	荒廢之谷的歌劇	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66605	結晶體的搖滾樂	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66606	暴動亦如是	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66607	山丘上的雪見櫻	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66608	調查(蠻顎龍，蒼火龍)	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66609	不守秩序者，前途黯淡	狩獵爆鱗龍	‧限制時間結束‧３次力竭倒下
66610	誰對王座露出獠牙？	討伐所有目標	‧限制時間結束‧３次力竭倒下
66801	這條魚不適合進食	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66802	地底之主正在呼喚...	交貨地底的果實２０個	‧限制時間結束‧３次力竭倒下
66803	拘泥於沼泥的猛牛們	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66804	乾地的寶石果實	交貨堅實果２０個	‧限制時間結束‧３次力竭倒下
66805	真正的暴徒是哪個？！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66806	繽‧紛‧色‧彩	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66807	睡眠與麻痹的組合	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66808	焚天之王，游火之哲	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66809	在乎荒地發生的事	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66810	水與冰氣正在等候	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66811	燃燒吧，獸龍種！！！！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66812	不候人的全力疾走	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66813	森林深處	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66814	適合地底	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66815	三界主	討伐所有目標	‧限制時間結束‧３次力竭倒下
66816	永凍冬季	討伐所有目標	‧限制時間結束‧３次力竭倒下
66817	飢渴的理由	狩獵惶怒恐暴龍	‧限制時間結束‧３次力竭倒下
66818	踢地跨月	狩獵雷狼龍	‧限制時間結束‧３次力竭倒下
66819	我既優雅又充滿良心	狩獵黑狼鳥	‧限制時間結束‧３次力竭倒下
66820	破天大轟	狩獵黑轟龍	‧限制時間結束‧３次力竭倒下
66821	銀色逆光	狩獵銀火龍	‧限制時間結束‧３次力竭倒下
66822	月亮是無慈悲的金女王	狩獵金火龍	‧限制時間結束‧３次力竭倒下
66823	愛心滅亡	討伐殲世滅盡龍	‧限制時間結束‧３次力竭倒下
66824	力量是金	狩獵金獅子	‧限制時間結束‧３次力竭倒下
66825	暴虐與不合理乃傷痕之母	狩獵戰痕黑狼鳥	‧限制時間結束‧３次力竭倒下
66826	大樹的約德爾	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66827	溫泥的重金屬	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66828	海底的古典樂	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66829	生命的頌歌	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66830	粗暴的另類搖滾	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66831	冰封的謠曲	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66832	八萬地獄之狼	狩獵獄狼龍	‧限制時間結束‧３次力竭倒下
66833	無終止的淘金記	討伐絢輝龍	‧限制時間結束‧３次力竭倒下
66834	轟與迅的熱切邂逅	狩獵所有目標	‧限制時間結束‧３次力竭倒下
66835	雷霆鳴神，降臨	狩獵雷狼龍	‧限制時間結束‧３次力竭倒下
66836	殲滅之鐘，再次作響	討伐殲世滅盡龍	‧限制時間結束‧３次力竭倒下
66840	風暴的棺材	討伐鋼龍	‧限制時間結束‧３次力竭倒下
66841	滅日	討伐炎王龍	‧限制時間結束‧３次力竭倒下
66842	我的高貴靈魂	討伐炎妃龍	‧限制時間結束‧３次力竭倒下
66843	暗夜恆星	討伐煌黑龍	‧限制時間結束‧３次力竭倒下
66844	黎明死星	討伐煌黑龍	‧限制時間結束‧３次力竭倒下
66846	最後的白騎士	狩獵霜刃冰牙龍	‧限制時間結束‧３次力竭倒下
66847	溟呼遠響	討伐溟波龍	‧限制時間結束‧３次力竭倒下
66853	光明珍珠是圓圓的眼神	交貨8個光明珍珠	‧限制時間結束‧３次力竭倒下
66854	女王的食桌	狩獵雌火龍	‧限制時間結束‧３次力竭倒下
66855	稀幻的轟龍？？？	狩獵轟龍	‧限制時間結束‧３次力竭倒下
66856	塞耳露耳	狩獵黑狼鳥	‧限制時間結束‧３次力竭倒下
66857	金獅金猴	狩獵激昂金獅子	‧限制時間結束‧３次力竭倒下
66858	身裸萬象	討伐天地煌啼龍	‧限制時間結束‧３次力竭倒下
66859	燻火山堆	狩獵紅蓮爆鱗龍	‧限制時間結束‧３次力竭倒下
66860	雷霆鳴神，降臨	狩獵雷狼龍	‧限制時間結束‧３次力竭倒下
66861	你是黃金獎杯	狩獵激昂金獅子	‧限制時間結束‧５次力竭倒下
66867	老士的脫俗	狩獵霜刃冰牙龍	‧限制時間結束‧３次力竭倒下
67101	試煉	狩獵蠻顎龍	‧限制時間結束‧３次力竭倒下
67102	荒野教誨	討伐酸翼龍８頭	‧限制時間結束‧３次力竭倒下
67103	斬擊大騷動！！？	狩獵２頭慘爪龍	‧限制時間結束‧３次力竭倒下
67105	USJ‧躍動吧，金星們！	狩獵３頭大凶豺龍	‧限制時間結束‧３次力竭倒下
67106	USJ‧躍動吧，金星們！	狩獵３頭大凶豺龍	‧限制時間結束‧３次力竭倒下
67603	USJ‧燃燒喲，蒼星們！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
67604	USJ‧燃燒喲，蒼星們！	狩獵所有目標	‧限制時間結束‧３次力竭倒下
67605	Code: Red	狩獵所有目標	‧限制時間結束‧３次力竭倒下
67606	貝希摩斯殲殛戰	討伐貝希摩斯	‧限制時間結束‧３次力竭倒下
67607	諾拉之深奧	狩獵２頭恐暴龍	‧限制時間結束‧３次力竭倒下
67608	慘靜，恐暴，艷熱	狩獵所有目標	‧限制時間結束‧３次力竭倒下
67610	委託：林精	討伐古代鹿首精	‧限制時間結束‧３次力竭倒下
67801	RE: 生物危害重歸大地	討伐霧瘴屍套龍	‧限制時間結束‧３次力竭倒下
67802	前往冰封荒野	狩獵雷狼龍	‧限制時間結束‧３次力竭倒下
67803	倖存者	狩獵獄狼龍	‧限制時間結束‧３次力竭倒下
67804	防火道計畫	狩獵惶怒恐暴龍	‧限制時間結束‧３次力竭倒下
67807	暗殺者	狩獵迅龍	‧限制時間結束‧３次力竭倒下
